image	text_normalized	text_raw
data_ocr/images/ストップウォッチ-1_OCR用.jpg		
data_ocr/images/ストップウォッチ-2_OCR用.jpg	22:43	22:43
data_ocr/images/ストップウォッチ-3_OCR用.jpg	13:28 48	13:28 48
data_ocr/images/ストップウォッチ-4_OCR用.jpg		
data_ocr/images/ストップウォッチ-5_OCR用.jpg		
data_ocr/images/ストップウォッチ-6_OCR用.jpg	60 65	60 65
data_ocr/images/ストップウォッチ-7_OCR用.jpg	10:34	10:34
data_ocr/images/デジタル時計-1_OCR用.jpg	5	5
data_ocr/images/デジタル時計-2_OCR用.jpg	. 1 1:38	. 1 1:38
data_ocr/images/デジタル時計-3_OCR用.jpg	20:59	20:59
data_ocr/images/デジタル時計-4_OCR用.jpg	09:33	09:33
data_ocr/images/デジタル時計-5_OCR用.jpg	15:48:21	15:48:21
data_ocr/images/デジタル時計-6_OCR用.jpg	12:30	12:30
data_ocr/images/デジタル時計-7_OCR用.jpg	11 15	11 15
data_ocr/images/温度計-2_OCR用.jpg		
data_ocr/images/温度計-3_OCR用.jpg		
data_ocr/images/温度計-4_OCR用.jpg	35.9	35.9
data_ocr/images/温度計-5_OCR用.jpg		
data_ocr/images/温度計-6_OCR用.jpg	000	000
data_ocr/images/温度計-7_OCR用.jpg		
data_ocr/images/電卓-2_OCR用.jpg	2024	2024
data_ocr/images/電卓-3_OCR用.jpg	7	7
data_ocr/images/電卓-4_OCR用.jpg	20 21	20 21
data_ocr/images/電卓-5_OCR用.jpg	142565	142565
data_ocr/images/電卓-6_OCR用.jpg	----	----
data_ocr/images/電卓-7_OCR用.jpg	66553	66553
