image	text_normalized	text_raw	preprocessing_attempts
data_ocr/images/IMG_6278.jpeg	8 50	8 50	3
data_ocr/images/IMG_6279.jpeg	3:00.	3:00.	1
data_ocr/images/IMG_6280.jpeg	192	192	1
data_ocr/images/IMG_6281.jpeg	2 1:5030	2 1:5030	1
data_ocr/images/IMG_6282.jpeg	2 1:5042	2 1:5042	1
data_ocr/images/IMG_6283.jpeg	4	4	59
data_ocr/images/IMG_6284.jpeg	2 85055	2 85055	1
data_ocr/images/IMG_6285.jpeg	12	12	1
data_ocr/images/IMG_6286.jpeg	262 48	262 48	1
data_ocr/images/IMG_6287.jpeg	7 6	7 6	1
data_ocr/images/IMG_6288.jpeg	12	12	1
data_ocr/images/IMG_6289.jpeg	10	10	1
data_ocr/images/IMG_6290.jpeg	12	12	1
