epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23071,2.20398,0.55713,0.73751,3.76324,2.42327,0.125,0.5,0.52687,0.47419,0.25,1,0.82833,0.79819,2.38618,0.4693,0.72647,2.99507,3.08326,0,0,0
2,8.10557,2.2286,0.78653,0.71226,3.31936,2.45332,0.14286,0.5,0.53143,0.47829,0.28571,1,0.82833,0.79864,2.34059,0.47138,0.72669,2.95658,3.00775,1.934e-05,1.934e-05,1.934e-05
3,11.06,2.17309,0.57378,0.73035,3.27412,2.41062,0.14286,0.5,0.53143,0.47829,0.28571,1,0.695,0.67864,2.13622,0.44572,0.72612,2.773,2.77307,3.736e-05,3.736e-05,3.736e-05
4,13.9164,1.94368,0.61465,0.73841,2.75174,2.13063,0.25,1,0.995,0.521,0.25,1,0.995,0.94819,1.69585,0.44939,0.72706,2.40678,2.30469,5.406e-05,5.406e-05,5.406e-05
5,16.6365,1.71089,0.5623,0.68522,2.18722,2.05124,1,0.80849,0.995,0.60613,1,0.80849,0.995,0.995,1.86543,0.42619,0.72887,2.1148,2.24627,6.944e-05,6.944e-05,6.944e-05
6,19.5333,1.2114,0.52281,0.72075,1.71681,1.68789,1,0.92011,0.995,0.55666,1,0.92011,0.995,0.995,1.67937,0.38663,0.7278,1.66357,2.14713,8.35e-05,8.35e-05,8.35e-05
7,22.7118,1.51997,0.45087,0.71975,1.73771,2.05673,1,0.95324,0.995,0.69805,1,0.95324,0.995,0.9487,1.3454,0.38028,0.72893,1.24051,2.00375,9.624e-05,9.624e-05,9.624e-05
8,27.1038,0.87876,0.73124,0.72858,1.22614,1.44321,1,0.97669,0.995,0.74697,1,0.97669,0.995,0.90589,1.13893,0.40561,0.72765,0.91892,1.7874,0.00010766,0.00010766,0.00010766
9,29.9144,0.8249,0.42582,0.69936,0.93766,1.34776,1,0.99506,0.995,0.59789,1,0.99506,0.995,0.85401,1.03219,0.50207,0.72654,0.67082,1.67635,0.00011776,0.00011776,0.00011776
10,32.799,0.74889,0.59224,0.73357,1.06612,1.29066,0.98611,1,0.995,0.69676,0.98611,1,0.995,0.90406,1.03212,0.49919,0.72412,0.72933,1.65439,0.00012654,0.00012654,0.00012654
11,35.6922,0.88281,0.28433,0.68432,0.94186,1.40615,0.98389,1,0.995,0.74629,0.98389,1,0.995,0.85309,0.92453,0.49672,0.71899,0.80951,1.58069,0.000134,0.000134,0.000134
12,38.558,0.93614,0.26681,0.6997,0.77998,1.48127,0.98345,1,0.995,0.74622,0.98345,1,0.995,0.85305,0.87944,0.49395,0.71381,0.84284,1.57163,0.00014014,0.00014014,0.00014014
13,42.7715,0.68201,0.36483,0.6615,0.73752,1.30644,0.98321,1,0.995,0.74619,0.98321,1,0.995,0.84977,0.89242,0.49239,0.71001,0.8628,1.63725,0.00014496,0.00014496,0.00014496
14,46.0074,0.75519,0.54241,0.68412,0.74834,1.20847,0.98321,1,0.995,0.79595,0.98321,1,0.995,0.89779,0.93764,0.47106,0.70633,0.77849,1.75243,0.00014846,0.00014846,0.00014846
15,49.2708,0.85392,0.4281,0.69626,1.0002,1.35113,0.98287,1,0.995,0.796,0.98287,1,0.995,0.8972,0.92472,0.47238,0.70117,0.92842,1.80102,0.00015064,0.00015064,0.00015064
16,52.4007,0.83497,0.53719,0.70287,0.9697,1.37595,0.98288,1,0.995,0.82104,0.98288,1,0.995,0.89697,0.93899,0.44746,0.69816,0.79561,1.83033,0.0001515,0.0001515,0.0001515
17,55.2651,0.89415,0.58257,0.65017,0.6468,1.19611,0.98293,1,0.995,0.796,0.98293,1,0.995,0.92061,0.87994,0.44379,0.68929,0.73234,1.77,0.00015104,0.00015104,0.00015104
18,58.315,0.69871,0.59688,0.64868,0.59072,1.15688,0.98293,1,0.995,0.796,0.98293,1,0.995,0.92061,0.87994,0.44379,0.68929,0.73234,1.77,0.00014926,0.00014926,0.00014926
19,63.1696,0.49807,0.49823,0.67243,0.47892,1.12885,0.98322,1,0.995,0.796,0.98322,1,0.995,0.92068,0.78985,0.37626,0.6808,0.55918,1.64688,0.00014616,0.00014616,0.00014616
20,66.2319,0.59611,0.48576,0.65591,0.50495,1.1606,0.98322,1,0.995,0.796,0.98322,1,0.995,0.92068,0.78985,0.37626,0.6808,0.55918,1.64688,0.00014174,0.00014174,0.00014174
21,69.3811,1.36424,0.41628,0.69346,1.25988,1.83628,1,0.99071,0.995,0.84611,1,0.99071,0.995,0.92086,0.74934,0.34117,0.67382,0.62649,1.56729,0.000136,0.000136,0.000136
22,72.6273,1.13464,0.38852,0.72589,0.99825,1.70913,1,0.99071,0.995,0.84611,1,0.99071,0.995,0.92086,0.74934,0.34117,0.67382,0.62649,1.56729,0.00012894,0.00012894,0.00012894
23,76.0679,0.5811,0.55225,0.63797,0.5302,1.19253,0.98133,1,0.995,0.79635,0.98133,1,0.995,0.91285,0.62141,0.3793,0.6702,0.71194,1.39533,0.00012056,0.00012056,0.00012056
24,79.3408,0.48336,0.53247,0.6457,0.44412,1.09754,0.98133,1,0.995,0.79635,0.98133,1,0.995,0.91285,0.62141,0.3793,0.6702,0.71194,1.39533,0.00011086,0.00011086,0.00011086
25,82.6251,0.63554,0.55065,0.63653,0.52359,1.21188,0.98437,1,0.995,0.84644,0.98437,1,0.995,0.8955,0.57721,0.44159,0.66196,0.58063,1.33637,9.984e-05,9.984e-05,9.984e-05
26,86.1262,0.47704,0.39948,0.64712,0.44219,1.08985,0.98437,1,0.995,0.84644,0.98437,1,0.995,0.8955,0.57721,0.44159,0.66196,0.58063,1.33637,8.75e-05,8.75e-05,8.75e-05
27,89.3539,0.31038,0.42808,0.61755,0.38291,0.96359,0.98384,1,0.995,0.8955,0.98384,1,0.995,0.8955,0.52998,0.44052,0.65387,0.47939,1.32861,7.384e-05,7.384e-05,7.384e-05
28,94.6902,0.51707,0.50446,0.58688,0.39311,1.02703,0.98384,1,0.995,0.8955,0.98384,1,0.995,0.8955,0.52998,0.44052,0.65387,0.47939,1.32861,5.886e-05,5.886e-05,5.886e-05
29,99.0048,0.66192,0.40278,0.55094,0.40101,1.29706,0.98329,1,0.995,0.92141,0.98329,1,0.995,0.8955,0.50287,0.46638,0.65073,0.46876,1.32287,4.256e-05,4.256e-05,4.256e-05
30,103.497,0.54689,0.61469,0.60798,0.51186,1.18552,0.98329,1,0.995,0.92141,0.98329,1,0.995,0.8955,0.50287,0.46638,0.65073,0.46876,1.32287,2.494e-05,2.494e-05,2.494e-05
